District,Latitude,Longitude
Budapest I. kerület,47.4969971000000,19.0342902126417
Budapest II. kerület,47.5424706500000,18.9729025808608
Budapest III. kerület,47.5686915000000,19.0276681676163
Budapest IV. kerület,47.5777789500000,19.0931641316882
Budapest V. kerület,47.5003355000000,19.0489710202420
Budapest VI. kerület,47.5080771500000,19.0644261952640
Budapest VII. kerület,47.5026271000000,19.0772433250180
Budapest VIII. kerület,47.4887552500000,19.0864332576322
Budapest IX. kerület,47.4650699000000,19.0967523059594
Budapest X. kerület,47.4824047000000,19.1589754308728
Budapest XI. kerület,47.4583340500000,19.0213513682198
Budapest XII. kerület,47.5047900000000,18.9828364954067
Budapest XIII. kerület,47.5368042000000,19.0741986294617
Budapest XIV. kerület,47.5230039500000,19.1145126730015
Budapest XV. kerület,47.5627398500000,19.1402660499816
Budapest XVI. kerület,47.5182656000000,19.2042946930896
Budapest XVII. kerület,47.4756928500000,19.2687796480962
Budapest XVIII. kerület,47.4266187000000,19.2073245209620
Budapest XIX. kerület,47.4456300500000,19.1415095554415
Budapest XX. kerület,47.4330988500000,19.1188057182141
Budapest XXI. kerület,47.4243170000000,19.0692138186022
Budapest XXII. kerület,47.4103838500000,19.0009665256674
Budapest XXIII. kerület,47.3885123500000,19.1506419247107
